condition,model,planner,paired,episode,terrain_seed,food_seed,agent,alive,survived_s,eaten,dist_m,final_energy_kJ,mean_latency_s,trace_role
analytic,qwen3.5-122b,analytic,False,6,42,783,Cyan,0,32.0,0.0,52.0,0.0,3.63,analytic
analytic,qwen3.5-122b,analytic,False,7,2718,784,Amber,1,240.0,2.0,239.0,229.0,5.2,analytic
analytic,qwen3.5-122b,analytic,False,7,2718,784,Cyan,1,240.0,2.0,154.0,496.0,5.18,analytic
analytic,qwen3.5-122b,analytic,False,8,9001,785,Amber,0,25.0,0.0,48.0,0.0,3.81,analytic
analytic,qwen3.5-122b,analytic,False,8,9001,785,Cyan,1,240.0,2.0,134.0,547.0,2.66,analytic
analytic,qwen3.5-122b,analytic,False,9,31415,786,Amber,1,240.0,4.0,242.0,711.0,1.91,analytic
analytic,qwen3.5-122b,analytic,False,9,31415,786,Cyan,0,36.0,0.0,58.0,0.0,3.18,analytic
analytic,qwen3.5-122b,analytic,False,10,1337,787,Amber,0,28.0,0.0,40.0,0.0,4.02,analytic
analytic,qwen3.5-122b,analytic,False,10,1337,787,Cyan,0,46.0,0.0,40.0,0.0,3.94,analytic
analytic,qwen3.5-122b,analytic,False,11,42,788,Amber,1,240.0,4.0,251.0,482.0,5.28,analytic
analytic,qwen3.5-122b,analytic,False,11,42,788,Cyan,1,240.0,4.0,225.0,752.0,5.31,analytic
analytic,qwen3.5-122b,analytic,False,12,2718,789,Amber,1,240.0,3.0,284.0,530.0,5.6,analytic
analytic,qwen3.5-122b,analytic,False,12,2718,789,Cyan,1,240.0,2.0,112.0,481.0,5.73,analytic
analytic,qwen3.5-122b,analytic,False,13,9001,790,Amber,1,240.0,2.0,101.0,504.0,2.23,analytic
analytic,qwen3.5-122b,analytic,False,13,9001,790,Cyan,0,21.0,0.0,40.0,0.0,3.39,analytic
analytic,qwen3.5-122b,analytic,False,14,31415,791,Amber,1,240.0,4.0,293.0,633.0,2.86,analytic
analytic,qwen3.5-122b,analytic,False,14,31415,791,Cyan,0,40.0,0.0,30.0,0.0,4.1,analytic
paired,qwen3.5-122b,learned,True,0,1337,777,Amber,1,240.0,3.0,235.0,587.0,3.99,learned
paired,qwen3.5-122b,off,True,0,1337,777,Cyan,1,240.0,3.0,257.0,443.0,4.04,off
paired,qwen3.5-122b,off,True,1,42,778,Amber,1,240.0,4.0,250.0,726.0,2.6,off
paired,qwen3.5-122b,learned,True,1,42,778,Cyan,0,26.0,0.0,46.0,0.0,3.03,learned
paired,qwen3.5-122b,learned,True,2,2718,779,Amber,0,61.0,1.0,99.0,0.0,3.1,learned
paired,qwen3.5-122b,off,True,2,2718,779,Cyan,0,28.0,0.0,49.0,0.0,3.34,off
paired,qwen3.5-122b,off,True,3,9001,780,Amber,0,25.0,0.0,40.0,0.0,3.49,off
paired,qwen3.5-122b,learned,True,3,9001,780,Cyan,1,240.0,2.0,109.0,460.0,2.87,learned
paired,qwen3.5-122b,learned,True,4,31415,781,Amber,1,240.0,3.0,151.0,653.0,2.25,learned
paired,qwen3.5-122b,off,True,4,31415,781,Cyan,0,49.0,0.0,82.0,0.0,3.83,off
paired,qwen3.5-122b,off,True,5,1337,782,Amber,1,240.0,5.0,429.0,787.0,2.33,off
paired,qwen3.5-122b,learned,True,5,1337,782,Cyan,0,34.0,0.0,55.0,0.0,3.71,learned
paired,qwen3.5-122b,learned,True,6,42,783,Amber,1,240.0,3.0,184.0,799.0,2.38,learned
paired,qwen3.5-122b,off,True,6,42,783,Cyan,0,32.0,0.0,46.0,0.0,4.8,off
paired,qwen3.5-122b,off,True,7,2718,784,Amber,0,34.0,0.0,46.0,0.0,4.72,off
paired,qwen3.5-122b,learned,True,7,2718,784,Cyan,0,29.0,0.0,42.0,0.0,4.74,learned
paired,qwen3.5-122b,learned,True,8,9001,785,Amber,0,35.0,0.0,50.0,0.0,4.06,learned
paired,qwen3.5-122b,off,True,8,9001,785,Cyan,0,27.0,0.0,42.0,0.0,4.39,off
paired,qwen3.5-122b,off,True,9,31415,786,Amber,1,240.0,3.0,228.0,480.0,3.45,off
paired,qwen3.5-122b,learned,True,9,31415,786,Cyan,0,41.0,0.0,48.0,0.0,4.04,learned
paired,qwen3.5-122b,learned,True,10,1337,787,Amber,0,27.0,0.0,51.0,0.0,4.11,learned
paired,qwen3.5-122b,off,True,10,1337,787,Cyan,0,28.0,0.0,50.0,0.0,4.64,off
paired,qwen3.5-122b,off,True,11,42,788,Amber,1,240.0,4.0,242.0,531.0,2.37,off
paired,qwen3.5-122b,learned,True,11,42,788,Cyan,0,36.0,0.0,51.0,0.0,3.83,learned
paired,qwen3.5-122b,learned,True,12,2718,789,Amber,1,240.0,3.0,169.0,704.0,2.44,learned
paired,qwen3.5-122b,off,True,12,2718,789,Cyan,0,31.0,0.0,51.0,0.0,3.44,off
paired,qwen3.5-122b,off,True,13,9001,790,Amber,1,240.0,2.0,99.0,444.0,5.33,off
paired,qwen3.5-122b,learned,True,13,9001,790,Cyan,1,240.0,2.0,138.0,451.0,5.28,learned
paired,qwen3.5-122b,learned,True,14,31415,791,Amber,0,31.0,0.0,48.0,0.0,4.18,learned
paired,qwen3.5-122b,off,True,14,31415,791,Cyan,1,240.0,3.0,182.0,674.0,3.46,off
